City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,276.96,75,75,7.2,AR,1688924811
1,hanceville,34.0607,-86.7675,302.29,51,75,2.7,US,1688924811
2,edinburgh of the seven seas,-37.0676,-12.3116,288.38,84,100,9.94,SH,1688924811
3,lihue,21.9789,-159.3672,297.92,81,100,10.29,US,1688924811
4,choyr,46.3611,108.3611,292.87,53,74,2.29,MN,1688924811
5,grytviken,-54.2811,-36.5092,267.37,81,70,4.42,GS,1688924811
6,nemuro,43.3236,145.575,287.96,100,89,3.76,JP,1688924812
7,papao,-17.75,-149.55,298.97,84,30,11.39,PF,1688924812
8,kidal,18.4411,1.4078,313.54,13,7,2.03,ML,1688924812
9,ngerengere,-6.75,38.1167,296.51,70,82,1.89,TZ,1688924812
10,iqaluit,63.7506,-68.5145,279.0,86,100,4.12,CA,1688924812
11,fredericton,45.9454,-66.6656,299.5,68,20,3.09,CA,1688924108
12,port-aux-francais,-49.35,70.2167,274.55,57,67,8.54,TF,1688924813
13,antofagasta,-23.65,-70.4,290.75,70,84,2.99,CL,1688924813
14,kenai,60.5544,-151.2583,286.01,86,75,1.54,US,1688924813
15,bethel,41.3712,-73.414,301.31,76,40,5.14,US,1688924813
16,coyhaique,-45.5752,-72.0662,277.12,75,40,1.54,CL,1688924813
17,puerto natales,-51.7236,-72.4875,274.4,75,20,3.09,CL,1688924813
18,ribeira grande,38.5167,-28.7,294.69,100,75,2.24,PT,1688924814
19,blackmans bay,-43.0167,147.3167,286.22,71,73,5.42,AU,1688924814
20,devoto,-31.4043,-62.3063,290.13,79,100,2.26,AR,1688924814
21,adamstown,-25.066,-130.1015,294.45,74,100,7.87,PN,1688924814
22,port elizabeth,-33.918,25.5701,283.88,94,75,3.09,ZA,1688924814
23,port alfred,-33.5906,26.891,286.24,70,98,8.41,ZA,1688924814
24,vorgashor,67.5833,63.95,281.97,76,84,4.62,RU,1688924814
25,priozersk,61.0393,30.1291,288.2,91,57,1.39,RU,1688924815
26,hermanus,-34.4187,19.2345,280.82,68,17,3.74,ZA,1688924815
27,wailua homesteads,22.0669,-159.378,297.59,85,100,10.29,US,1688924815
28,san patricio,28.017,-97.5169,309.3,44,0,7.56,US,1688924815
29,jamestown,42.097,-79.2353,297.6,73,100,2.06,US,1688924672
30,faya-largeau,17.9257,19.1043,309.31,14,25,4.54,TD,1688924815
31,yellowknife,62.456,-114.3525,289.44,44,75,6.17,CA,1688924246
32,udachny,66.4167,112.4,293.4,52,24,6.58,RU,1688924816
33,arima,10.6333,-61.2833,304.89,83,20,7.72,TT,1688924816
34,iskateley,67.6803,53.1512,279.51,75,99,3.7,RU,1688924816
35,kill devil hills,36.0307,-75.676,303.7,71,40,5.66,US,1688924816
36,amboanjo,-22.6667,47.8167,293.5,89,3,3.18,MG,1688924816
37,gaspe,48.8334,-64.4819,297.27,78,75,5.14,CA,1688924816
38,albany,42.6001,-73.9662,301.38,89,100,0.72,US,1688924668
39,kodiak,57.79,-152.4072,283.88,71,75,4.63,US,1688924817
40,at taj,24.2049,23.2857,305.82,18,1,5.32,LY,1688924817
41,walvis bay,-22.9575,14.5053,290.68,42,0,7.2,NA,1688924817
42,hadibu,12.65,54.0333,299.4,69,14,7.46,YE,1688924817
43,guerrero negro,27.9769,-114.0611,295.46,57,9,5.17,MX,1688924817
44,ulanhot,46.0833,122.0833,292.09,92,99,3.17,CN,1688924817
45,marka,1.7159,44.7717,298.49,84,46,8.7,SO,1688924818
46,tocopilla,-22.092,-70.1979,292.46,67,63,2.82,CL,1688924818
47,shizilu,35.1711,118.8289,300.28,67,68,1.9,CN,1688924828
48,tazovsky,67.4667,78.7,281.33,80,92,4.27,RU,1688924828
49,rongelap,11.1635,166.8941,301.35,76,95,8.03,MH,1688924828
50,ilulissat,69.2167,-51.1,284.16,62,75,1.54,GL,1688924829
51,avarua,-21.2078,-159.775,298.18,94,1,5.14,CK,1688924829
52,isafjordur,66.0755,-23.124,282.17,87,20,4.63,IS,1688924830
53,la cruz,23.9167,-106.9,307.7,49,71,2.68,MX,1688924830
54,enewetak,11.3474,162.3373,301.33,80,100,5.58,MH,1688924830
55,fort mcmurray,56.7268,-111.381,294.92,64,0,1.54,CA,1688924757
56,i-n-salah,27.1935,2.4607,314.8,5,0,5.08,DZ,1688924831
57,invercargill,-46.4,168.35,277.21,95,17,1.5,NZ,1688924831
58,west island,-12.1568,96.8225,299.14,65,88,6.69,CC,1688924831
59,constantia,44.1833,28.65,298.53,48,63,6.45,RO,1688924831
60,waitangi,-43.9535,-176.5597,283.61,90,99,3.58,NZ,1688924831
61,ust-nera,64.5667,143.2,277.6,84,53,2.32,RU,1688924832
62,bilibino,68.0546,166.4372,288.21,60,74,1.16,RU,1688924832
63,stanthorpe,-28.6667,151.95,278.94,81,31,1.5,AU,1688924833
64,fort bragg,35.139,-79.006,305.23,73,75,10.29,US,1688924606
65,talnakh,69.4865,88.3972,284.38,73,99,3.02,RU,1688924833
66,suntar,62.1444,117.6319,286.72,66,58,1.94,RU,1688924833
67,thompson,55.7435,-97.8558,287.24,51,75,7.72,CA,1688924833
68,dakhla,23.6848,-15.958,297.16,69,2,11.83,EH,1688924834
69,mount gambier,-37.8333,140.7667,284.47,84,100,4.02,AU,1688924834
70,belfast,54.5833,-5.9333,292.05,68,20,4.63,GB,1688924555
71,villa dolores,-31.9459,-65.1896,290.63,68,100,1.84,AR,1688924834
72,tamandare,-8.7597,-35.1047,299.38,80,48,4.2,BR,1688924834
73,mount isa,-20.7333,139.5,287.02,44,18,5.66,AU,1688924835
74,south hedland,-20.4089,118.5983,290.11,36,75,3.6,AU,1688924835
75,sakakah,29.9697,40.2064,308.91,15,1,5.77,SA,1688924835
76,fale old settlement,-9.3852,-171.2468,301.76,78,97,7.69,TK,1688924835
77,whitehorse,60.7161,-135.0538,290.58,34,40,2.57,CA,1688924835
78,gulf breeze,30.3571,-87.1639,305.65,76,0,2.06,US,1688924835
